,Voltages,1st_NOC,Stuck,2nd_NOC,Without_Stuck
0,100.0,72.0,119.0,127.0,80.0
1,200.0,74.0,122.0,127.0,79.0
2,300.0,75.0,123.0,126.0,78.0
3,400.0,74.0,121.0,121.0,74.0
4,500.0,81.0,128.0,129.0,82.0
5,600.0,75.0,122.0,130.0,83.0
6,700.0,83.0,131.0,142.0,94.0
7,800.0,86.0,131.0,143.0,98.0
