,Voltages,1st_NOC,Stuck,2nd_NOC,Without_Stuck
0,100.0,75.0,121.0,122.0,76.0
1,200.0,80.0,125.0,128.0,83.0
2,300.0,69.0,115.0,115.0,69.0
3,400.0,70.0,115.0,115.0,70.0
4,500.0,68.0,114.0,118.0,72.0
5,600.0,75.0,121.0,121.0,75.0
6,700.0,121.0,121.0,72.0,72.0
7,800.0,127.0,125.0,77.0,79.0
