,Voltages,1st_NOC,Stuck,2nd_NOC,Without_Stuck
0,100.0,71.0,120.0,138.0,89.0
1,200.0,83.0,129.0,138.0,92.0
2,300.0,81.0,129.0,136.0,88.0
3,400.0,94.0,142.0,143.0,95.0
4,500.0,82.0,128.0,139.0,93.0
5,600.0,109.0,158.0,159.0,110.0
6,700.0,122.0,171.0,184.0,135.0
7,800.0,108.0,156.0,165.0,117.0
